time,project,amount_usd
2023-05-22 00:00:00.000 UTC,meteora,1.791580639292117e+06
2023-01-02 00:00:00.000 UTC,raydium,1.1485914309096758e+08
2023-04-03 00:00:00.000 UTC,raydium,2.8287850706977215e+07
2024-08-26 00:00:00.000 UTC,lifinity,5.089207190778638e+08
2024-08-19 00:00:00.000 UTC,pumpdotfun,3.1996139310394335e+08
2024-12-09 00:00:00.000 UTC,whirlpool,5.741622846472835e+09
2023-12-04 00:00:00.000 UTC,phoenix,2.598004547437597e+08
2023-02-27 00:00:00.000 UTC,whirlpool,9.865588008171135e+07
2024-01-08 00:00:00.000 UTC,lifinity,6.369866530320443e+08
2023-05-08 00:00:00.000 UTC,raydium,1.0629705460374607e+08
2023-01-16 00:00:00.000 UTC,meteora,1.634683700744045e+06
2022-10-31 00:00:00.000 UTC,lifinity,3.158618047023307e+07
2023-12-25 00:00:00.000 UTC,meteora,3.538938720353992e+08
2023-04-24 00:00:00.000 UTC,raydium,4.6578127022285335e+07
2024-08-05 00:00:00.000 UTC,whirlpool,4.840868931126665e+09
2024-04-15 00:00:00.000 UTC,whirlpool,2.7341442907383976e+09
2023-01-30 00:00:00.000 UTC,lifinity,3.241995001433571e+07
2023-09-18 00:00:00.000 UTC,lifinity,1.8233785402906865e+07
2024-10-07 00:00:00.000 UTC,phoenix,5.591989663688966e+08
2023-03-27 00:00:00.000 UTC,phoenix,254834.8364288752
2023-08-21 00:00:00.000 UTC,meteora,3.6534406827795515e+06
2022-07-25 00:00:00.000 UTC,whirlpool,2.1906880378256482e+08
2024-05-06 00:00:00.000 UTC,lifinity,8.423927134007704e+08
2023-09-04 00:00:00.000 UTC,raydium,2.617936203087518e+07
2024-12-30 00:00:00.000 UTC,pumpdotfun,2.041633477754219e+09
2024-01-01 00:00:00.000 UTC,meteora,1.9850004434464517e+08
2023-02-20 00:00:00.000 UTC,lifinity,5.266486689564071e+07
2024-09-23 00:00:00.000 UTC,lifinity,6.093563435716393e+08
2024-07-22 00:00:00.000 UTC,meteora,1.420175308542639e+09
2023-12-18 00:00:00.000 UTC,raydium,2.8675084187055736e+09
2023-01-09 00:00:00.000 UTC,raydium,1.3539578839700687e+08
2024-07-08 00:00:00.000 UTC,goosefx_ssl,1.8614112185907168e+06
2024-02-05 00:00:00.000 UTC,meteora,6.301049801579213e+08
2024-07-22 00:00:00.000 UTC,pumpdotfun,6.16175823222542e+08
2025-01-06 00:00:00.000 UTC,whirlpool,1.3683766084154227e+11
2024-12-16 00:00:00.000 UTC,whirlpool,6.884380180262739e+09
2023-12-11 00:00:00.000 UTC,phoenix,4.9043197176053214e+08
2023-05-08 00:00:00.000 UTC,phoenix,2.5386653105415883e+06
2024-10-28 00:00:00.000 UTC,whirlpool,3.7411008349264235e+09
2024-11-18 00:00:00.000 UTC,lifinity,3.69539408330566e+09
2024-03-25 00:00:00.000 UTC,goosefx_ssl,9.972031909404268e+06
2024-08-19 00:00:00.000 UTC,lifinity,4.0718543687494004e+08
2025-01-06 00:00:00.000 UTC,raydium,2.8524908827310192e+10
2024-12-30 00:00:00.000 UTC,phoenix,5.016004170588068e+08
2023-08-21 00:00:00.000 UTC,whirlpool,7.869401647318394e+07
2023-08-28 00:00:00.000 UTC,lifinity,1.987589568469902e+07
