token_pair,seven_day_volume,thirty_day_volume,all_time_volume,break_1,fee_rate,all_time_fees,tokenA_fees,tokenB_fees,break_2,lps,tvl,tokenA_balance,tokenB_balance,tokenA_price,tokenB_price
<nil>,2.3868662427510732e+08,2.462727722636201e+09,8.323104868464138e+11,|,<nil>,8.744189918685807e+06,5.7406398742286766e+13,6.484532792500659e+13,|,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>
"JUPYI-USDC<a href=""https://solscan.io/address/4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP"" target=""blank""> (4Ui9...) </a>",5.400741343151572e+07,1.578244644893513e+08,2.3093666322460494e+09,|,0.0004,923746.6528983027,1.1269606271278267e+06,923199.4514222022,|,3337,443092.4590906172,385029.068629000000000000,102949.403839000000000000,0.883364,1.000216
"TEST-USDC<a href=""https://solscan.io/address/GGVu9JFMq9Ltwdibvayee7THnBSsb6DwLCjpqf6qdr3n"" target=""blank""> (GGVu...) </a>",0,6.278252289454038e+08,2.291830903833357e+09,|,1e-06,2291.8309038333605,99.52456714420398,2291.5268393779033,|,<nil>,0.000603130248,0.000637000000000000,0.000603000000000000,<nil>,1.000216
"ASDF-USDC<a href=""https://solscan.io/address/87BGrxutM3vGz44tZDjfH3oDkLZaW18qem7W6womneHi"" target=""blank""> (87BG...) </a>",0,10.947808567168,2.291534463888688e+09,|,1e-06,2291.534463888686,1.9625326541699983,2291.00635486944,|,<nil>,0.00037854070599999996,0.000435000000000000,0.000376000000000000,0.005654,1.000216
"SOL-BONK<a href=""https://solscan.io/address/3ne4mWqdYuNiYrYZC9TrA3FcfuFdErghH97vNPbjicr1"" target=""blank""> (3ne4...) </a>",1.4893921968826378e+07,1.7105842509611297e+08,2.268066813440385e+09,|,0.003,6.804200440320996e+06,92137.30160666397,1.2637771987780164e+12,|,7235,2.809893081710975e+06,3147.446405863000000000,128095037969.570880000000000000,197.63,1.708e-05
"EJPTJ-USDC<a href=""https://solscan.io/address/8ZWhFTBFm6oTisZDPVXJuXshqDMqWh8hzHP552yn1KEK"" target=""blank""> (8ZWh...) </a>",0,0,2.140588712879039e+09,|,1e-06,2140.588712879038,2.1336366367423834,2139.2616335381986,|,<nil>,0.00033507554158900005,0.000000353000000000,0.000335000000000000,0.009013,1.000216
"ONYX-USDC<a href=""https://solscan.io/address/9sA5YjGNAz4ThrtZMNGxCX8uPyLssFr8ngUAZdmh96pt"" target=""blank""> (9sA5...) </a>",0,0,2.073666904586077e+09,|,1e-06,2073.666904586078,29519.2890458691,2072.953863266794,|,<nil>,0.000491106056,0.000483000000000000,0.000491000000000000,<nil>,1.000216
"BONK-USDC<a href=""https://solscan.io/address/2R4zNZtRybeLBDQtjY6VvEVc74S95crMtQyySZDUiDD6"" target=""blank""> (2R4z...) </a>",68.10837349227499,375.01309480541664,2.0416614241853528e+09,|,1e-06,2041.6614241853472,3080.343086064063,2039.833503927732,|,<nil>,112.22035192994079,3241702.373160000000000000,56.839798000000000000,1.708e-05,1.000216
"MW2-USDC<a href=""https://solscan.io/address/EgWR6jqiTwSCKz4AVyq3f1BJVNy6x4sgEquxS48gatk"" target=""blank""> (EgWR...) </a>",1.6795511735519997,1.97697318277362e+09,1.97697318277362e+09,|,1e-06,1976.9731827736175,669.5062799640747,1975.9516042755863,|,<nil>,52.474679082952,2310072.701166000000000000,52.463347000000000000,<nil>,1.000216
"CUNT-USDC<a href=""https://solscan.io/address/36gKftBX2DtWQksoULkcYm9yxwoqbgf7MxrxzifaLXbB"" target=""blank""> (36gK...) </a>",0,0,1.9243130624326563e+09,|,1e-06,1924.3130624326527,645.5029546851977,1923.7227244279356,|,<nil>,0.0005511190159999999,0.000607000000000000,0.000551000000000000,<nil>,1.000216
"SUCKY-USDC<a href=""https://solscan.io/address/CpcJAQgj4jmxuhYucenooeHrH88t1NhTZGfxw3DALBEb"" target=""blank""> (CpcJ...) </a>",150.74356207671906,1.8710464057019205e+09,1.8710464057019205e+09,|,1e-06,1871.0464057019187,1656.31843721974,1870.0903542384983,|,<nil>,379.12306189682397,1826081.150915000000000000,379.041189000000000000,<nil>,1.000216
"SOL-USDC<a href=""https://solscan.io/address/HJPjoWUrhoZzkNfRpHuieeFk9WcZWjwy6PBjZ81ngndJ"" target=""blank""> (HJPj...) </a>",2.1609009085990195e+06,1.6213787096285995e+07,1.846974173402175e+09,|,0.003,4.45099519949736e+06,146566.69166294957,4.451835738261707e+06,|,5236,311556.6515088387,739.016407857000000000,165469.097499000000000000,197.63,1.000216
<nil>,2.97286904684531e+08,1.6750467231499686e+09,1.805651334713286e+09,|,<nil>,2.8890421355413115e+06,1.1409993287867883e+06,1.1468902350387368e+06,|,3433,<nil>,<nil>,<nil>,<nil>,<nil>
"JUPYI-SOL<a href=""https://solscan.io/address/DkVN7RKTNjSSER5oyurf3vddQU2ZneSCYwXvpErvTCFA"" target=""blank""> (DkVN...) </a>",825621.3521243989,1.5349777766007427e+06,1.777335117483206e+09,|,0.0001,177733.51174835552,216582.1904196329,1202.3413098837057,|,1483,13071.874862595238,13110.541039000000000000,7.541845308000000000,0.883364,197.63
"2ZMMH-USDC<a href=""https://solscan.io/address/HLRMhC7xGAcHNtUTaKyBaxp8hNWsMCqiZCz4tu2FK5Vh"" target=""blank""> (HLRM...) </a>",0,0,1.6928012032501795e+09,|,1e-06,1692.8012032501792,0.8162851779699988,1692.3747011117202,|,<nil>,0.09504561656899999,8.010273000000000000,0.000260000000000000,0.011833,1.000216
"NEIRO-USDC<a href=""https://solscan.io/address/BqDLkFqYn1u1ccdjxGSBhC81UPShqRGNyRimvDbTz1qk"" target=""blank""> (BqDL...) </a>",14.102067838620002,352.8888751344111,1.592218057971928e+09,|,1e-06,1592.2180579719254,6.06616392313799,1591.594084084956,|,<nil>,60.964930581240004,15669.625329000000000000,60.951765000000000000,<nil>,1.000216
"$BTC-USDC<a href=""https://solscan.io/address/FpnJMomcf3p6zZitUSYTeQS5BZyrRfJxWAvaPAebrNhR"" target=""blank""> (FpnJ...) </a>",0,1.5898317253148036e+09,1.5898317253148036e+09,|,1e-06,1589.8317253148032,222.63597971587618,1589.3177435316672,|,<nil>,0.000271058536,0.000317000000000000,0.000271000000000000,<nil>,1.000216
"TRUMP-USDC<a href=""https://solscan.io/address/6fKc1Cy8L7SyznoFxd7Y1tscvbXe61jo1QgYHnSXteo2"" target=""blank""> (6fKc...) </a>",0,1.5067402626046767e+09,1.5067402626046767e+09,|,1e-06,1506.7402626046774,820.1678188642016,1506.2786787669943,|,<nil>,0.00054011664,0.000553000000000000,0.000540000000000000,<nil>,1.000216
