project,_col1,usd_volume
openxswap,2024-05-13 00:00:00.000 UTC,878.0717136761273
mento,2024-10-21 00:00:00.000 UTC,1.0660099845830032e+08
quickswap,2024-12-23 00:00:00.000 UTC,2.0334463236085975e+08
defi_kingdoms,2024-02-12 00:00:00.000 UTC,215943.37492063915
beethoven_x,2025-01-06 00:00:00.000 UTC,3.5700115703599085e+06
sharkyswap,2025-02-03 00:00:00.000 UTC,589.34481294724
spiritswap,2024-11-18 00:00:00.000 UTC,1.310053872542257e+06
nomiswap,2024-08-05 00:00:00.000 UTC,14562.057986158046
torus,2024-03-25 00:00:00.000 UTC,11.389345420533889
spartacus_exchange,2024-03-11 00:00:00.000 UTC,195.41558048237997
echodex,2024-10-14 00:00:00.000 UTC,3116.1163100381077
mauve,2024-03-04 00:00:00.000 UTC,400349.2825402365
velocimeter,2024-07-15 00:00:00.000 UTC,0.13012040741699998
leetswap,2024-11-25 00:00:00.000 UTC,0.025713047808
defi_kingdoms,2024-04-01 00:00:00.000 UTC,161833.16586478258
fusionx,2024-05-20 00:00:00.000 UTC,3.504670095182387e+07
fusionx,2024-07-01 00:00:00.000 UTC,1.1931166473535756e+07
dackieswap,2024-06-03 00:00:00.000 UTC,414866.72946681274
stablebase,2024-09-16 00:00:00.000 UTC,617.4884258849922
spartacus_exchange,2025-01-27 00:00:00.000 UTC,214.5325896957614
openocean,2024-04-29 00:00:00.000 UTC,8.041455236812689e+06
mdex,2024-05-27 00:00:00.000 UTC,2.9508094271579795e+06
apeswap,2024-07-15 00:00:00.000 UTC,1.0696209478426093e+07
uniswap,2025-02-10 00:00:00.000 UTC,3.654350301062318e+09
1inch-LOP,2024-08-12 00:00:00.000 UTC,9.788657891217497e+07
dooar,2024-09-30 00:00:00.000 UTC,4.590607572467767e+06
bancor,2025-01-06 00:00:00.000 UTC,2.4454820874841567e+06
valantis,2025-02-10 00:00:00.000 UTC,1.2528668241175609e+06
infusion,2024-09-23 00:00:00.000 UTC,371229.6869192814
fraxswap,2024-11-11 00:00:00.000 UTC,7.884719840499101e+06
quickswap,2024-10-21 00:00:00.000 UTC,2.5856986316701347e+08
baseswap,2024-07-01 00:00:00.000 UTC,1.0137071511717947e+08
ezkalibur,2024-12-30 00:00:00.000 UTC,4989.23370705176
swapr,2024-09-23 00:00:00.000 UTC,17.51431932070896
leetswap,2024-03-18 00:00:00.000 UTC,1.056406983351
spookyswap,2024-10-21 00:00:00.000 UTC,1.438777729302878e+07
dracula_finance,2024-11-11 00:00:00.000 UTC,1967.8030315705994
otsea,2024-07-15 00:00:00.000 UTC,757.945412628
sharkyswap,2024-12-02 00:00:00.000 UTC,434.1498987300006
arbswap,2024-12-30 00:00:00.000 UTC,9267.67918725671
camelot,2024-09-16 00:00:00.000 UTC,6.555529479594142e+08
rcpswap,2024-08-05 00:00:00.000 UTC,168869.91472712497
infusion,2024-06-24 00:00:00.000 UTC,649094.7963445652
nomiswap,2025-02-10 00:00:00.000 UTC,129.09670044424607
sobal,2024-07-08 00:00:00.000 UTC,1.4414121822239998
integral,2024-11-04 00:00:00.000 UTC,4.867997792345144e+07
gridex,2024-08-19 00:00:00.000 UTC,0.18189385728000002
mdex,2024-11-11 00:00:00.000 UTC,2.3736814702442787e+06
zebra,2024-02-26 00:00:00.000 UTC,5.516974771122417e+06
dodo,2024-04-22 00:00:00.000 UTC,6.528722858534621e+08
pancakeswap,2024-09-02 00:00:00.000 UTC,3.5600456161344185e+09
pancakeswap,2024-11-04 00:00:00.000 UTC,6.812566380808423e+09
torus,2024-04-08 00:00:00.000 UTC,9.569973815821962
integral,2024-03-25 00:00:00.000 UTC,3.0119025049695544e+07
clipper,2025-02-10 00:00:00.000 UTC,3.500970764398555e+06
