product_name,avg_volume_7d,avg_volume_30d,avg_volume_90d,volume_change_7d_pct,volume_change_30d_pct,volume_change_90d_pct,market_share_7d,market_share_30d,market_share_90d,volume_to_tvl_ratio,label,average_tvl
Vela Exchange,27722.285714285714,2.0509825333333334e+06,5.779176966666667e+06,-0.9799707595548806,-0.6020004933476497,-0.5215650619139193,2.919966846539093e-06,0.00015458692998600779,0.0005196057070072453,0.0,0.0,0
Pika V4,8247.57142857143,22199.433333333334,24751.5,-0.5599417656295257,-0.14347429071173184,0.4341324073036856,8.687102998682931e-07,1.6732186601568233e-06,2.2254069621280095e-06,0.0,0.0,0
Substance Exchange,6370.285714285715,135454.13333333333,376495.05555555556,-0.66484528256507,-0.37474781418444436,-0.8245235988771082,6.709772520348315e-07,1.0209467065467303e-05,3.3850664316914334e-05,0.0,0.0,0
Kinetix Derivatives V2,5028.857142857143,41746.3,35303.13333333333,-0.9113596704378634,0.02745959941521918,1.1793537421265228,5.296856213251286e-07,3.1465077105198543e-06,3.1741041433825587e-06,0.0,0.0,0
Filament Beta,2719.285714285714,637.2666666666667,11295.888888888889,351.5,1.1722531530507896,-0.822435113703846,2.864202545856435e-07,4.8032148485589196e-08,1.0156131861405474e-06,0.0,0.0,0
Capybara Perps,1875.2857142857142,42004,64909.78888888889,-0.9843446444181806,-0.5986468680396945,11.446005138715492,1.9752238938511912e-07,3.1659311094079223e-06,5.836038062484805e-06,0.0,0.0,0
Grizzly Trade Perps,1819.857142857143,13244.9,28200.133333333335,-0.8390442978798676,-0.6779026672632829,-0.7393094172382936,1.9168414095962768e-07,9.982963753689408e-07,2.535473528995744e-06,0.0,0.0,0
Xena Finance,1655.5714285714287,2775.1,9287.5,-0.4726519839825264,-0.7831218902232526,-0.9766129470221661,1.7438005413149582e-07,2.0916520859246558e-07,8.3503897383043e-07,0.0,0.0,0
KPerp Exchange,1390.7142857142858,4983.566666666667,5929.85,-0.7762943217593125,-0.49068629788857626,0.0,1.4648285675814235e-07,3.756220537522222e-07,5.331527169817901e-07,0.0,0.0,0
Equation V2,1142,2744.9666666666667,1612.6777777777777,-0.8270857217018883,1.1592375058996278,-0.9069692463496866,1.2028597400355315e-07,2.0689399495971255e-07,1.4499583275097646e-07,0.0,0.0,0
Beamex Perps,539.1428571428571,11265.3,31113.37777777778,-0.7078268947898119,-0.7738431981112948,9.602094518359218,5.6787498860321436e-08,8.490896992384788e-07,2.7974032895778265e-06,0.0,0.0,0
Covo V2,242.42857142857142,5745.733333333334,7070.144444444444,0.5786046511627905,-0.21651583813242303,-0.9896821872122801,2.5534813345512846e-08,4.3306818175321586e-07,6.35676571921594e-07,0.0,0.0,0
Rollup Finance vAMM,173,224.26666666666668,6734.277777777777,-0.2257033248081841,-0.9707102588102131,0.400533329636074,1.8221955781624075e-08,1.6903457213675287e-08,6.054788053883849e-07,0.0,0.0,0
