token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
FRAX-_e,1.0740460912038464e+07,43,4.580813568332219e+06,1.34466230764961,3.1639827761031732e+07,104,6.283288640014714e+07,-0.49644478276016873,2.4032137340021738e+08,307,2.5991524057239535e+08,-0.07538560312595599
de_-_C,1.2986041401019499e+07,224,820047.7662337107,14.835713400771002,3.017644804900574e+07,1005,1.0131464663687038e+08,-0.7021511790179412,1.947725471188505e+08,3293,1.6601176666443205e+08,0.17324543333457842
ETH-_C,4.815265728497314e+06,6119,4.487834257375778e+06,0.07295979582655071,2.8547623782164533e+07,20152,4.351911825607325e+07,-0.344021089439683,8.144338531246224e+07,23891,2.3304617482151285e+07,2.4947316931864987
Mog-WETH,4.758276220372416e+06,405,4.10159407019766e+06,0.1601041299884437,2.8002681349755358e+07,1770,5.215886340113959e+07,-0.46312707900871275,1.8035094729303953e+08,7305,1.3385522794682503e+08,0.347358262052232
FRAX-sDAI,7.980655062164775e+06,26,4.53187034206083e+06,0.7610069264549255,2.6899753990830053e+07,92,3.726102155101599e+07,-0.27807255756527743,1.8352267519450498e+08,254,2.39300222819578e+08,-0.23308606639755147
pxETH-WETH,3.901140477117429e+06,69,1.5809384139657712e+06,1.4676106562123754,2.684411095739039e+07,265,6.577442622195505e+07,-0.5918761667824324,1.490844154026147e+08,745,7.780866959627256e+07,0.9160386133855274
WETH-wTAO,6.68383269701524e+06,225,4.351019620052407e+06,0.5361531964166908,2.629283516639353e+07,761,4.06041618572692e+07,-0.3524596010916937,1.3869020876825187e+08,2765,9.068771169144888e+07,0.5293164441079312
LBTC-WBTC,1.7031947353909134e+06,213,4.282080837386907e+06,-0.602250681369605,2.5075952183215685e+07,1119,1.1092080608265842e+08,-0.7739292287099948,2.2782915970798847e+08,4358,1.3450139086812344e+08,0.6938795817462696
crv_-_T,3.982795010008778e+06,156,3.7123543363534864e+06,0.07284883099842668,2.302116427854092e+07,607,6.805825833627185e+07,-0.6617432646484325,1.9883695505495587e+08,1818,2.191409322732674e+08,-0.09265260035031969
beraSTONE-WETH,6.118738319739487e+06,517,1.2029158014011965e+06,4.086589030264776,2.2600354354843695e+07,5631,5.173904339789328e+07,-0.5631856936155889,1.8238331319078025e+08,11358,4.0954628262609124e+07,3.4533016395925413
_0++-_T,2.9032993143459484e+06,76,1.5999516244786156e+06,0.8146169358664587,2.0948114874727838e+07,343,2.9456267575883664e+07,-0.2888401485095686,1.123528715571206e+08,1213,4.818676807074406e+07,1.331612516369076
BALLS-WETH,1.4423182829751559e+06,545,3.9971424690741487e+06,-0.6391626532868523,1.8090903766004365e+07,3178,235.7338048788932,76741.93373111445,1.8091261048350107e+07,3184,2.176995962138634e+06,7.310195040774278
Bold-_C,2.482679445636371e+06,34,1.0022030052667544e+06,1.4772221122761064,1.7598060202201687e+07,158,2.463109112001618e+07,-0.28553468799030096,5.323974143672102e+07,347,0,Infinity
fx_-_C,526704.238006183,28,3.0118649195611826e+06,-0.825123552326204,1.6772240942172956e+07,226,8.235631556868044e+07,-0.7963454189717135,1.8610243886262435e+08,599,3.6077381564166285e+07,4.158424220217519
EDGE-WETH,1.3804027455245432e+07,188,365770.50562996033,36.73958600481192,1.638753701821417e+07,772,1.829577091891123e+06,7.957008201974898,2.491597633052195e+07,2449,7.52910517023886e+06,2.3092878592014
